"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Current weather endpoint - error responses","1","0","Client correctly parses documented Weather API error responses","0"
"0","","0","Current weather endpoint - happy path","1","0","Get current weather for four cities and compare values","0"
